"110年07月27日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","1795  ","美時            ","1,021,000","764,000","257,000","0","0","0","1,021,000","764,000","257,000",
" ","2912  ","統一超          ","900,982","659,000","241,982","0","0","0","900,982","659,000","241,982",
" ","3044  ","健鼎            ","608,000","371,000","237,000","0","0","0","608,000","371,000","237,000",
" ","6189  ","豐藝            ","312,000","96,000","216,000","0","0","0","312,000","96,000","216,000",
" ",="00861 ","元大全球未來通訊","215,000","4,000","211,000","0","0","0","215,000","4,000","211,000",
" ","2349  ","錸德            ","512,000","301,000","211,000","0","0","0","512,000","301,000","211,000",
" ","2477  ","美隆電          ","427,000","227,000","200,000","0","0","0","427,000","227,000","200,000",
" ","4906  ","正文            ","1,061,000","861,000","200,000","0","0","0","1,061,000","861,000","200,000",
" ","2359  ","所羅門          ","289,000","95,000","194,000","0","0","0","289,000","95,000","194,000",
" ","8131  ","福懋科          ","271,000","81,000","190,000","0","0","0","271,000","81,000","190,000",
" ","3682  ","亞太電          ","553,000","366,000","187,000","0","0","0","553,000","366,000","187,000",
" ",="006207","FH滬深          ","232,000","50,000","182,000","0","0","0","232,000","50,000","182,000",
" ","3022  ","威強電          ","229,000","48,000","181,000","0","0","0","229,000","48,000","181,000",
" ","6139  ","亞翔            ","291,000","110,000","181,000","0","0","0","291,000","110,000","181,000",
" ","3532  ","台勝科          ","327,000","148,000","179,000","0","0","0","327,000","148,000","179,000",
" ","1522  ","堤維西          ","220,000","43,000","177,000","0","0","0","220,000","43,000","177,000",
" ","1337  ","再生-KY         ","302,000","126,000","176,000","0","0","0","302,000","126,000","176,000",
" ","2501  ","國建            ","291,000","118,000","173,000","0","0","0","291,000","118,000","173,000",
" ","3092  ","鴻碩            ","823,000","652,000","171,000","0","0","0","823,000","652,000","171,000",
" ","9933  ","中鼎            ","620,000","449,000","171,000","0","0","0","620,000","449,000","171,000",
" ","1440  ","南紡            ","1,987,000","1,818,000","169,000","0","0","0","1,987,000","1,818,000","169,000",
