"110年07月20日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","2241  ","艾姆勒          ","414,000","333,000","81,000","0","0","0","414,000","333,000","81,000",
" ","6669  ","緯穎            ","472,000","391,385","80,615","0","0","0","472,000","391,385","80,615",
" ","1537  ","廣隆            ","83,000","3,000","80,000","0","0","0","83,000","3,000","80,000",
" ","2493  ","揚博            ","93,000","13,000","80,000","0","0","0","93,000","13,000","80,000",
" ","6206  ","飛捷            ","101,000","21,000","80,000","0","0","0","101,000","21,000","80,000",
" ","6525  ","捷敏-KY         ","453,000","375,000","78,000","0","0","0","453,000","375,000","78,000",
" ","5608  ","四維航          ","6,768,100","6,691,000","77,100","0","0","0","6,768,100","6,691,000","77,100",
" ","1514  ","亞力            ","307,000","230,000","77,000","0","0","0","307,000","230,000","77,000",
" ","4104  ","佳醫            ","81,000","4,000","77,000","0","0","0","81,000","4,000","77,000",
" ","5538  ","東明-KY         ","92,000","15,000","77,000","0","0","0","92,000","15,000","77,000",
" ",="00752 ","中信中國50      ","201,000","126,000","75,000","0","0","0","201,000","126,000","75,000",
" ","3504  ","揚明光          ","222,000","147,000","75,000","0","0","0","222,000","147,000","75,000",
" ","8404  ","百和興業-KY     ","310,000","235,000","75,000","0","0","0","310,000","235,000","75,000",
" ","6191  ","精成科          ","1,444,000","1,370,000","74,000","0","0","0","1,444,000","1,370,000","74,000",
" ",="00655L","國泰中國A50正2  ","106,000","34,000","72,000","0","0","0","106,000","34,000","72,000",
" ","1109  ","信大            ","152,000","81,000","71,000","0","0","0","152,000","81,000","71,000",
" ","2548  ","華固            ","281,292","212,000","69,292","0","0","0","281,292","212,000","69,292",
" ","1218  ","泰山            ","91,000","22,000","69,000","0","0","0","91,000","22,000","69,000",
" ","8104  ","錸寶            ","106,000","37,000","69,000","0","0","0","106,000","37,000","69,000",
" ","2832  ","台產            ","79,000","12,000","67,000","0","0","0","79,000","12,000","67,000",
" ","4916  ","事欣科          ","141,000","76,000","65,000","0","0","0","141,000","76,000","65,000",
" ","1733  ","五鼎            ","65,000","1,000","64,000","0","0","0","65,000","1,000","64,000",
" ","6670  ","復盛應用        ","102,000","38,248","63,752","0","0","0","102,000","38,248","63,752",
" ","1319  ","東陽            ","427,000","366,000","61,000","0","0","0","427,000","366,000","61,000",
" ","1723  ","中碳            ","77,000","16,000","61,000","0","0","0","77,000","16,000","61,000",
" ",="086936","奇力新元大09購02","60,000","0","60,000","0","0","0","60,000","0","60,000",
" ","8081  ","致新            ","613,000","553,000","60,000","0","0","0","613,000","553,000","60,000",
" ","912000","晨訊科-DR       ","73,000","14,000","59,000","0","0","0","73,000","14,000","59,000",
" ","2906  ","高林            ","86,000","28,000","58,000","0","0","0","86,000","28,000","58,000",
" ","6172  ","互億            ","58,000","3,000","55,000","0","0","0","58,000","3,000","55,000",
" ","3013  ","晟銘電          ","463,000","409,000","54,000","0","0","0","463,000","409,000","54,000",
" ","8478  ","東哥遊艇        ","66,000","12,000","54,000","0","0","0","66,000","12,000","54,000",
" ","9939  ","宏全            ","207,000","153,000","54,000","0","0","0","207,000","153,000","54,000",
" ","9914  ","美利達          ","266,150","214,000","52,150","0","0","0","266,150","214,000","52,150",
" ","9940  ","信義            ","80,194","30,000","50,194","0","0","0","80,194","30,000","50,194",
" ","2451  ","創見            ","166,000","117,000","49,000","0","0","0","166,000","117,000","49,000",
" ","2836  ","高雄銀          ","59,000","10,000","49,000","0","0","0","59,000","10,000","49,000",
" ","4155  ","訊映            ","59,000","11,000","48,000","0","0","0","59,000","11,000","48,000",
" ",="00675L","富邦臺灣加權正2 ","47,000","0","47,000","0","0","0","47,000","0","47,000",
" ",="00701 ","國泰股利精選30  ","77,000","30,000","47,000","0","0","0","77,000","30,000","47,000",
" ","4976  ","佳凌            ","1,533,512","1,487,000","46,512","0","0","0","1,533,512","1,487,000","46,512",
" ","2478  ","大毅            ","141,000","95,000","46,000","0","0","0","141,000","95,000","46,000",
" ",="00631L","元大台灣50正2   ","152,000","107,000","45,000","0","0","0","152,000","107,000","45,000",
" ","3011  ","今皓            ","60,000","15,000","45,000","0","0","0","60,000","15,000","45,000",
" ","2438  ","翔耀            ","52,000","8,264","43,736","0","0","0","52,000","8,264","43,736",
" ","3450  ","聯鈞            ","140,000","96,500","43,500","0","0","0","140,000","96,500","43,500",
" ","1232  ","大統益          ","72,000","29,000","43,000","0","0","0","72,000","29,000","43,000",
" ","3515  ","華擎            ","327,000","284,000","43,000","0","0","0","327,000","284,000","43,000",
